Method:GET; URL:/images/Logo%20Header%20PT%20UT.png; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 4 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 1 ms
Method:GET; URL:/images/Logo%20Header%20PT%20UT.png; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 24/12/2024; ResponseTime: 9043 ms
Method:GET; URL:/images/Logo%20Header%20PT%20UT.png; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 3 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 2858 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:304; Message: Not Modified; DateTime: 24/12/2024; ResponseTime: 3694 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 11 ms
Method:GET; URL:/vendors/progressbar.js/progressbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 1 ms
Method:GET; URL:/vendors/moment/moment.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
Method:GET; URL:/input-job-order; Status:200; Message: OK; DateTime: 24/12/2024; ResponseTime: 4277 ms
Method:GET; URL:/vendors/core/perfect-scrollbar.min.js.map; Status:404; Message: Not Found; DateTime: 24/12/2024; ResponseTime: 0 ms
